CASM    Generic wetland environmental data Apr 2016  S.M. Bartell                                             
                    Te      Th     I0      N       P       Si      depth   velocityTIS     POCe    wind    sal
        DOY         C       C      eins/m2 mg/L    mg/L    mg/L    m       m/s     mg/L    mg/L    m/s     psu
      60   6.330   6.330  46.520   1.264   0.064  11.205   0.317   0.000   6.680   2.400   5.330   0.000
      61   6.330   6.330  55.670   1.445   0.176   6.345   0.294   0.000  69.760  25.090   5.050   0.000
      62   6.670   6.670  63.430   0.934   0.104   6.793   0.297   0.000   5.850   2.100   5.700   0.000
      63   7.000   7.000  40.850   0.916   0.080   5.943   0.359   0.000  17.160   6.170   2.990   0.000
      64   8.000   8.000  41.870   1.156   0.272   7.930   0.420   0.000  26.730   9.620   4.380   0.000
      65   8.330   8.330  43.350   1.283   0.368   7.715   0.380   0.000  12.680   4.560   6.620   0.000
      66   8.330   8.330  48.850   1.190   0.304   8.163   0.352   0.000  13.660   4.910   4.290   0.000
      67   8.670   8.670  41.130   0.904   0.352   5.243   0.268   0.000  84.530  30.400   5.590   0.000
      68   8.330   8.330  50.310   1.124   0.304   8.690   0.391   0.000  21.670   7.790   5.800   0.000
      69   8.330   8.330  39.000   1.128   0.184   8.873   0.367   0.000  17.470   6.280   5.430   0.000
      70   7.670   7.670  43.570   1.126   0.176   9.093   0.330   0.000  14.880   5.350   4.660   0.000
      71   8.000   8.000  62.280   1.180   0.192   8.958   0.344   0.000  12.610   4.540   1.740   0.000
      72   7.330   7.330  55.660   1.327   0.240   9.138   0.303   0.000   8.950   3.220   5.530   0.000
      73   7.670   7.670  59.250   1.172   0.160   8.385   0.293   0.000   4.920   1.770   7.540   0.000
      74   8.000   8.000  57.320   1.071   0.160   8.960   0.287   0.000   5.560   2.000   7.330   0.000
      75   8.330   8.330  48.730   1.103   0.280   7.977   0.761   0.000  32.910  11.840   2.840   0.000
      76   9.000   9.000  45.140   1.209   0.264   6.995   0.419   0.000  20.070   7.220   5.260   0.000
      77   8.000   8.000  44.860   1.340   0.232   7.840   0.377   0.000  10.520   3.780   6.010   0.000
      78   8.330   8.330  37.980   0.986   0.120   8.273   0.311   0.000   6.720   2.420   4.410   0.000
      79   8.000   8.000  37.620   1.235   0.152   7.655   0.338   0.000   8.950   3.220   3.040   0.000
      80   7.330   7.330  43.460   1.354   0.256   7.463   0.282   0.000  92.460  33.250   4.000   0.000
      81   6.670   6.670  51.900   1.352   0.224   7.670   0.368   0.000  32.560  11.710   5.320   0.000
      82   7.000   7.000  62.110   1.130   0.144   7.733   0.318   0.000  31.690  11.400   4.170   0.000
      83   7.000   7.000  52.810   1.008   0.120   6.218   0.305   0.000  11.800   4.250   3.670   0.000
      84   7.330   7.330  53.210   1.063   0.136   5.473   0.347   0.000  13.370   4.810   6.910   0.000
      85   7.330   7.330  58.450   0.903   0.112   5.155   0.301   0.000   8.720   3.140   5.300   0.000
      86   8.330   8.330  55.130   1.095   0.168   6.210   0.331   0.000   9.970   3.590   5.800   0.000
      87   9.330   9.330  53.680   1.138   0.152   9.030   0.331   0.000   8.770   3.160   5.720   0.000
      88   9.670   9.670  58.670   1.755   0.192   8.305   0.446   0.000  23.350   8.400   6.520   0.000
      89  10.330  10.330  47.110   1.660   0.136   8.018   0.400   0.000  14.390   5.180   4.360   0.000
      90   9.330   9.330  71.610   1.557   0.192   7.533   0.564   0.000  40.900  14.710   6.440   0.000
      91   9.000   9.000  75.180   1.492   0.120   6.783   0.403   0.000   7.820   3.120   2.340   0.000
      92   9.670   9.670  62.600   1.321   0.096   6.450   0.341   0.000   5.980   2.390   1.820   0.000
      93  10.000  10.000  45.050   1.526   0.112   8.362   0.378   0.000   7.940   3.170   3.380   0.000
      94  10.330  10.330  41.170   1.521   0.200   8.582   0.438   0.000  43.940  17.540   2.370   0.000
      95  10.670  10.670  55.200   1.413   0.200   8.315   0.357   0.000  13.560   5.410   6.560   0.000
      96  11.330  11.330  59.980   1.591   0.120   8.730   0.416   0.000  14.520   5.790   9.070   0.000
      97  11.330  11.330  68.730   1.478   0.104   8.136   0.340   0.000   9.350   3.730   9.350   0.000
      98  10.330  10.330  66.030   1.382   0.088   8.562   0.312   0.000   4.570   1.820   6.020   0.000
      99  10.670  10.670  56.290   1.301   0.160   7.450   0.342   0.000  30.690  12.250   4.870   0.000
     100  10.670  10.670  63.980   1.543   0.216   7.808   0.426   0.000  21.980   8.770   1.190   0.000
     101  10.330  10.330  68.420   1.322   0.120   7.118   0.327   0.000   7.780   3.100   2.780   0.000
